,Fishers_Knowledge_in_Fisheries_Science_a,Syed_et_al-2019-Fish_and_Fisheries
Fishers_Knowledge_in_Fisheries_Science_a,0.0,0.1968816241080782
Syed_et_al-2019-Fish_and_Fisheries,0.1968816241080782,0.0
